student_id,sleep_hours,sleep_quality
1,7.4,poor
2,4.6,average
3,8.5,poor
4,5.8,average
5,9.8,poor
6,4.2,good
7,7.4,average
8,8.2,poor
9,6.6,poor
10,9.8,average
11,5.8,average
12,4.1,poor
13,8.1,good
14,7.1,poor
15,7.7,good
16,7.3,average
17,8.3,average
18,6.8,poor
19,4.4,average
20,4.3,poor
21,4.2,poor
22,9.8,good
23,9.7,average
24,6.3,good
25,8,average
26,4.3,good
27,8.2,average
28,6.7,poor
29,7,good
30,4.6,good
31,6.3,poor
32,5.1,good
33,4.1,good
34,6.5,poor
35,4.6,good
36,5.1,average
37,5.8,average
38,6.7,poor
39,5.4,average
40,9.7,average
41,9.5,average
42,5.5,poor
43,6.7,good
44,7.6,poor
45,5.1,average
46,7.8,good
47,6.5,good
48,4.2,good
49,5.5,poor
50,5.1,poor
51,8.9,poor
52,7,good
53,5.1,good
54,7.4,poor
55,6.6,average
56,6.6,good
57,5.2,poor
58,7.8,average
59,8.9,average
60,6.9,good
61,4.9,average
62,5.6,average
63,5.9,good
64,9.3,average
65,7.7,good
66,9.6,poor
67,5.9,average
68,9.2,good
69,8.8,average
70,9.7,good
71,5.5,good
72,9.7,poor
73,8,good
74,8.4,poor
75,5.1,average
76,5.3,poor
77,9.9,poor
78,8.7,poor
79,9.3,average
80,5.6,poor
81,7,good
82,7.2,good
83,5.6,average
84,4.9,average
85,5.1,good
86,5.9,average
87,6.5,poor
88,4.1,average
89,6.9,good
90,7.2,good
91,6.9,poor
92,7.6,average
93,4.5,good
94,9.3,good
95,5.4,average
96,6.6,average
97,9.1,good
98,8.3,poor
99,8.3,poor
100,8.8,poor
101,9.8,good
102,4.2,poor
103,9.9,poor
104,9.6,poor
105,4.9,good
106,5.8,poor
107,8,poor
108,9.3,average
109,7.3,poor
110,7.1,poor
111,4.7,good
112,8.3,average
113,7,good
114,4.6,good
115,9.5,good
116,5.4,poor
117,7.2,average
118,9,poor
119,8,good
120,5.4,average
121,9.9,good
122,4.6,poor
123,8.8,poor
124,6.8,average
125,4.4,poor
126,5.5,good
127,4.5,good
128,5.2,average
129,9.3,good
130,5.8,poor
131,7.7,good
132,5.2,poor
133,5.5,poor
134,6.1,good
135,9.7,average
